ID,Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holder_s_Name,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit,Age,SSN,JobTitle,Additional_Details
39453,DC,Diners Club International,Diners Club,30454144202739,Thelma U Henderson,01/2007,01/2008,27,388,141300,19,668-67-1456,CEO,EE52 6864 9496 9930 1768 mblaydesufw@wikia.com 549-921-6114 goo.ne.jp Romaguera:7804579562776912
49946,DC,Diners Club International,Diners Club,30416809570395,Elbert D Santistevan,01/2007,01/2008,7,8854,183300,50,166-72-9016,Software Engineer,AZ47 UGLX FJIR NHLK TJ64 XFLC PVNM mskeats12jd@wsj.com 344-593-4507 unesco.org Davis:8712559690979587
23420,DC,Diners Club International,Diners Club,30066696413017,Walker J Kellison,01/2007,01/2008,14,316,79100,26,198-71-7101,CEO,RS10 1165 7289 6496 4191 24 hhanesi2j@tmall.com 358-935-6050 microsoft.com Reynolds:8963906084314724
82991,DC,Diners Club International,Diners Club,30178262729815,Gordon N Lowe,01/2007,01/2008,1,8943,161000,44,729-72-6477,Vice President,FR77 6426 6747 13CA XKMN HJVL P11 cshuard1s1a@printfriendly.com 530-153-9208 oakley.com Medhurst:2260693927934458
92731,DC,Diners Club International,Diners Club,30199527219640,Cheryl D Hyde,01/2007,01/2008,17,4080,76100,21,481-58-9115,Vice President,BG55 OAMX 2801 03L0 7S3E DA gtrubshaw1zju@e-recht24.de 325-416-4059 cisco.com Legros:5615692725841723
50310,AX,American Express,U.S. Bancorp,375616952046258,Paulette F Menefee,01/2008,01/2009,6,2623,103000,24,207-72-8687,CEO,CH49 7136 445M PUM4 WRLV Q tragate12th@prlog.org 636-806-4532 buzzfeed.com Rowe:3257919821930279
58938,AX,American Express,U.S. Bancorp,376233617359370,Milo Melnick,01/2007,01/2009,25,6681,123300,23,360-08-7490,CEO,DE30 8195 5935 0745 7440 84 ahackney19h5@usda.gov 987-396-7727 cnet.com Lubowitz:5694568497988731
27039,AX,American Express,U.S. Bancorp,373718472507520,Jill I Norris,01/2008,01/2009,12,1212,30400,52,818-58-6537,Vice President,IE91 EYTV 3934 1374 5490 69 risardkv2@dmoz.org 105-891-7894 ted.com McKenzie:7717607199799701
87867,AX,American Express,U.S. Bancorp,372966833993340,April Q Carroll,01/2007,01/2008,19,7945,178400,21,370-44-2425,Vice President,PT32 4635 9414 2308 6513 7738 9 twhitewood1vsq@amazonaws.com 148-343-5245 booking.com McClure:7327174176014210
76944,AX,American Express,Bank of America,370942869936992,Rex V Hooley,01/2007,01/2008,18,3767,40200,50,504-41-7781,CEO,FR02 2713 9818 12LF HJWO GUDN 153 mstrover1ndb@smh.com.au 453-272-8483 springer.com Romaguera:0503032088734108
17777,AX,American Express,Bank of America,345042270288778,Jimmy E Arnold,01/2007,01/2009,10,1952,131000,29,738-35-2493,Vice President,PS37 TPOJ 6CMN 8LNP QIN5 T26O I2VA 9 oblakemoredps@simplemachines.org 182-134-4660 psu.edu Macejkovic:7294680970236583
43133,AX,American Express,Bank of America,349927117154454,Jon L May,01/2008,01/2009,10,6828,196700,42,407-35-2406,CIO,FI05 4915 2919 6694 79 cspringxa4@nature.com 308-752-4972 ucoz.com Hegmann:2480775073278624
54904,AX,American Express,Bank of America,379349665070805,Therese I Galante,01/2008,01/2009,22,2871,101700,45,124-12-4051,CIO,CR55 6273 1218 7338 7066 2 gblesing16d3@trellian.com 374-994-5127 prnewswire.com Sawayn:6414441209727248
1852,AX,American Express,Bank of America,345875943320746,Rashad Bergman,01/2008,01/2009,15,9676,43900,41,683-46-9003,CEO,DK35 7701 6702 8467 27 morht1ff@digg.com 362-354-1467 dmoz.org Tillman:3844047540484630
73728,MC,Master Card,Bank of America,5459042375318554,Terese Pitzer,01/2007,01/2008,2,2237,76600,21,651-26-7417,CIO,CZ18 5071 0146 5607 5378 3849 bagastina1kvz@aol.com 386-634-5244 aol.com Rippin:1066749755272800
96405,MC,Master Card,Bank of America,5281507943890502,Derrick A Hebert,01/2007,01/2008,15,4268,172500,33,832-38-6896,CIO,FR74 4306 0682 81O4 PBGR SRKN S55 cdemitris22dw@aboutads.info 402-240-3792 vk.com Fritsch:4220351273623544
15474,AX,American Express,American Express,378178622795258,Johnathan T Pennypacker,01/2007,01/2008,1,3247,147300,55,348-89-1412,Software Engineer,FR52 4492 0119 206M WYLK UTUR 922 jyurchishinbxt@wp.com 362-937-8971 usgs.gov Hermiston:5060085546258802
15858,AX,American Express,American Express,340428802835332,Graig Goodspeed,01/2007,01/2008,3,3572,46900,34,241-12-2091,CIO,FR19 2533 3527 68VY QRT7 NPEY D22 nlawlyc8h@sourceforge.net 891-634-3411 t.co Bashirian:2745596774839842
55653,AX,American Express,American Express,343258007597602,Jimmy M Eaton,01/2008,01/2009,22,9406,127100,32,316-17-4053,Software Engineer,SM45 B614 2620 6011 952H 2XFR YAE ifitkin16xw@wikispaces.com 994-739-7028 printfriendly.com Grant:2270092450957755
9661,AX,American Express,American Express,341099742934458,Nathan Z Mcmillan,01/2008,01/2009,3,7122,15600,19,350-03-8250,CEO,FR17 7498 6036 0462 ELSZ I77Z C48 crouby7gc@w3.org 505-110-8358 google.fr Boyer:1128290644579578
65784,AX,American Express,American Express,341451562533714,Tonette Pinney,01/2007,01/2008,28,1439,18700,22,506-77-7459,CIO,GT02 AWAK YS9B WFLS FUZZ W6E4 ESLE dannear1erb@howstuffworks.com 461-947-3899 vistaprint.com Bednar:7617084189427589
31555,AX,American Express,American Express,376146854674485,Dan B Le,01/2008,01/2009,24,5268,165100,22,296-47-9979,CIO,FR79 2069 1971 70K9 GWIF 8CSE L63 eshawdforthoci@de.vu 787-750-1789 sun.com Streich:6486909304605003
57867,AX,American Express,American Express,379981283852568,Peggy Ryan,01/2007,01/2009,14,6417,38400,23,596-76-8539,Product Manager,GI06 NIGW SY6T APYQ OVEI AIA rhowgill18ne@cpanel.net 135-325-0258 gizmodo.com Weimann:1812859198713967
21877,AX,American Express,American Express,342079220455662,Terry M Graves,01/2007,01/2009,13,4446,104700,51,868-85-6495,CIO,CR86 4568 3928 3768 9300 9 rjeegvo@google.com.br 490-846-0575 unicef.org Beer:4712506253957023
